"Reviewer","ASIN","Rating","Months","URL","Brand_name"
"AKM1MP6P0OYPR","0132793040",5,6,"https://www.amazon.co.uk/dp/0132793040/","FRUYZ9646H"
"A2CX7LUOHB2NDG","0321732944",5,28,"https://www.amazon.co.uk/dp/0321732944/","XXSKO4415Q"
"A2NWSAGRHCP8N5","0439886341",1,20,"https://www.amazon.co.uk/dp/0439886341/","VKNEQ7868Y"
"A2WNBOD3WNDNKT","0439886341",3,1,"https://www.amazon.co.uk/dp/0439886341/","VKNEQ7868Y"
"A1GI0U4ZRJA8WN","0439886341",1,19,"https://www.amazon.co.uk/dp/0439886341/","VKNEQ7868Y"
"A1QGNMC6O1VW39","0511189877",5,10,"https://www.amazon.co.uk/dp/0511189877/","XIWNE4324C"
"A3J3BRHTDRFJ2G","0511189877",2,14,"https://www.amazon.co.uk/dp/0511189877/","XIWNE4324C"
"A2TY0BTJOTENPG","0511189877",5,22,"https://www.amazon.co.uk/dp/0511189877/","XIWNE4324C"
"A34ATBPOK6HCHY","0511189877",5,26,"https://www.amazon.co.uk/dp/0511189877/","XIWNE4324C"
"A89DO69P0XZ27","0511189877",5,29,"https://www.amazon.co.uk/dp/0511189877/","XIWNE4324C"
"AZYNQZ94U6VDB","0511189877",5,25,"https://www.amazon.co.uk/dp/0511189877/","XIWNE4324C"
"A1DA3W4GTFXP6O","0528881469",5,2,"https://www.amazon.co.uk/dp/0528881469/","VXVKC6828Z"
"A29LPQQDG7LD5J","0528881469",1,11,"https://www.amazon.co.uk/dp/0528881469/","VXVKC6828Z"
"AO94DHGC771SJ","0528881469",5,27,"https://www.amazon.co.uk/dp/0528881469/","VXVKC6828Z"
"AMO214LNFCEI4","0528881469",1,28,"https://www.amazon.co.uk/dp/0528881469/","VXVKC6828Z"
"A28B1G1MSJ6OO1","0528881469",4,5,"https://www.amazon.co.uk/dp/0528881469/","VXVKC6828Z"
"A3N7T0DY83Y4IG","0528881469",3,16,"https://www.amazon.co.uk/dp/0528881469/","VXVKC6828Z"
"A1H8PY3QHMQQA0","0528881469",2,14,"https://www.amazon.co.uk/dp/0528881469/","VXVKC6828Z"
"A2CPBQ5W4OGBX","0528881469",2,6,"https://www.amazon.co.uk/dp/0528881469/","VXVKC6828Z"
"A265MKAR2WEH3Y","0528881469",4,18,"https://www.amazon.co.uk/dp/0528881469/","VXVKC6828Z"
"A37K02NKUIT68K","0528881469",5,13,"https://www.amazon.co.uk/dp/0528881469/","VXVKC6828Z"
"A2AW1SSVUIYV9Y","0528881469",4,29,"https://www.amazon.co.uk/dp/0528881469/","VXVKC6828Z"
"A2AEHUKOV014BP","0528881469",5,27,"https://www.amazon.co.uk/dp/0528881469/","VXVKC6828Z"
"AMLFNXUIEMN4T","0528881469",1,9,"https://www.amazon.co.uk/dp/0528881469/","VXVKC6828Z"
"A2O8FIJR9EBU56","0528881469",4,4,"https://www.amazon.co.uk/dp/0528881469/","VXVKC6828Z"
"A3IQGFB959IR4P","0528881469",1,16,"https://www.amazon.co.uk/dp/0528881469/","VXVKC6828Z"
"AYTBGUX49LF3W","0528881469",4,10,"https://www.amazon.co.uk/dp/0528881469/","VXVKC6828Z"
"A24QFSUU00IZ05","0528881469",2,18,"https://www.amazon.co.uk/dp/0528881469/","VXVKC6828Z"
"A1NG5X8VYZWX0Q","0528881469",1,18,"https://www.amazon.co.uk/dp/0528881469/","VXVKC6828Z"
"A1E4WG8HRWWK4R","0528881469",5,24,"https://www.amazon.co.uk/dp/0528881469/","VXVKC6828Z"
"A2AOEW5UGXFOOQ","0528881469",5,27,"https://www.amazon.co.uk/dp/0528881469/","VXVKC6828Z"
"A2XSWV6AQI90BR","0528881469",1,4,"https://www.amazon.co.uk/dp/0528881469/","VXVKC6828Z"
"AR84FMFYCQCWF","0528881469",1,29,"https://www.amazon.co.uk/dp/0528881469/","VXVKC6828Z"
"A19TBA1WARJS55","0528881469",2,11,"https://www.amazon.co.uk/dp/0528881469/","VXVKC6828Z"
"A3C5SMBSKKWNPT","0528881469",5,4,"https://www.amazon.co.uk/dp/0528881469/","VXVKC6828Z"
"A24EV6RXELQZ63","0528881469",1,4,"https://www.amazon.co.uk/dp/0528881469/","VXVKC6828Z"
"A3T6ZQONABIJSG","0528881469",1,18,"https://www.amazon.co.uk/dp/0528881469/","VXVKC6828Z"
"A132P6YSJSI5G2","0528881469",2,28,"https://www.amazon.co.uk/dp/0528881469/","VXVKC6828Z"
"A1NQPG5IJ43HJI","0558835155",3,8,"https://www.amazon.co.uk/dp/0558835155/","GUZPE0846R"
"A2WOJCFAWI8VS8","059400232X",5,10,"https://www.amazon.co.uk/dp/059400232X/","EAKSG8539M"
"A22FB2WSZSXSHH","059400232X",5,1,"https://www.amazon.co.uk/dp/059400232X/","EAKSG8539M"
"AZQZ3STMCBG5H","059400232X",5,10,"https://www.amazon.co.uk/dp/059400232X/","EAKSG8539M"
"A2EGPA22UHMQXL","0594012015",1,26,"https://www.amazon.co.uk/dp/0594012015/","FTAOE7503B"
"AC57CU3TF6ZMJ","0594012015",5,24,"https://www.amazon.co.uk/dp/0594012015/","FTAOE7503B"
"A2YX0Z6RHA8Y2H","0594012015",1,29,"https://www.amazon.co.uk/dp/0594012015/","FTAOE7503B"
"A38T51B7J6QVD9","0594012015",1,4,"https://www.amazon.co.uk/dp/0594012015/","FTAOE7503B"
"A1HOSS7PNC1LMU","0594012015",1,13,"https://www.amazon.co.uk/dp/0594012015/","FTAOE7503B"
"A9HI77BE35VYE","0594012015",1,3,"https://www.amazon.co.uk/dp/0594012015/","FTAOE7503B"
"A3HFUWKSPF5QEH","0594012015",5,23,"https://www.amazon.co.uk/dp/0594012015/","FTAOE7503B"
"A38ETMHM9ATSF0","0594012015",1,18,"https://www.amazon.co.uk/dp/0594012015/","FTAOE7503B"
"A34O6MND17VDDH","0594017343",1,24,"https://www.amazon.co.uk/dp/0594017343/","MTCTL2231Y"
"A3JSAGWSLY5044","0594017580",3,6,"https://www.amazon.co.uk/dp/0594017580/","RAGIL4073F"
"A3B12X05JZKM94","0594033896",5,2,"https://www.amazon.co.uk/dp/0594033896/","RJMCW5469F"
"AKZOMZCNU41GZ","0594033896",4,2,"https://www.amazon.co.uk/dp/0594033896/","RJMCW5469F"
"A2XTFY0GJDF3R2","0594033896",4,22,"https://www.amazon.co.uk/dp/0594033896/","RJMCW5469F"
"A3ILG56NE5QU37","0594033896",5,1,"https://www.amazon.co.uk/dp/0594033896/","RJMCW5469F"
"AOK77THMKCGXZ","0594033896",4,22,"https://www.amazon.co.uk/dp/0594033896/","RJMCW5469F"
"A24RBL3W5W6SAN","0594033926",5,5,"https://www.amazon.co.uk/dp/0594033926/","HJIKK5221V"
"A2RX85Y4S27N2J","0594033926",1,12,"https://www.amazon.co.uk/dp/0594033926/","HJIKK5221V"
"A253JJFXQNPCOJ","0594033926",4,10,"https://www.amazon.co.uk/dp/0594033926/","HJIKK5221V"
"AHYURLVH267MA","0594033926",5,29,"https://www.amazon.co.uk/dp/0594033926/","HJIKK5221V"
"A1FXYTO11KEJ2P","0594033926",4,11,"https://www.amazon.co.uk/dp/0594033926/","HJIKK5221V"
"A2TKKYL3GKFS2M","0594033926",5,30,"https://www.amazon.co.uk/dp/0594033926/","HJIKK5221V"
"A3F069UFW04K1E","0594033926",5,16,"https://www.amazon.co.uk/dp/0594033926/","HJIKK5221V"
"A3HQ8RXUMJ2Y58","0594033926",5,14,"https://www.amazon.co.uk/dp/0594033926/","HJIKK5221V"
"A2MNKBHPMBB0EA","0594033926",5,16,"https://www.amazon.co.uk/dp/0594033926/","HJIKK5221V"
"A3HGTTFIDLCWDJ","0594033926",4,29,"https://www.amazon.co.uk/dp/0594033926/","HJIKK5221V"
"AYM7NJTTX3M0L","0594033926",5,2,"https://www.amazon.co.uk/dp/0594033926/","HJIKK5221V"
"A2PL24SVISXZM9","0594033926",5,13,"https://www.amazon.co.uk/dp/0594033926/","HJIKK5221V"
"A3I1C8WM8DLSMM","0594033926",5,19,"https://www.amazon.co.uk/dp/0594033926/","HJIKK5221V"
"A29LNVZLBG0IYN","0594033926",5,23,"https://www.amazon.co.uk/dp/0594033926/","HJIKK5221V"
"A2CP4GY6XAWIII","0594033926",5,15,"https://www.amazon.co.uk/dp/0594033926/","HJIKK5221V"
"A1UMFN4RKU451R","0594033934",5,16,"https://www.amazon.co.uk/dp/0594033934/","JCSJK1286W"
"A3T3XKC7H5ACI1","0594033934",5,4,"https://www.amazon.co.uk/dp/0594033934/","JCSJK1286W"
"A1NQNJ3EAZ6CMZ","0594202442",4,27,"https://www.amazon.co.uk/dp/0594202442/","LXFUA4720C"
"A34TPQUVSQXXPX","0594287995",5,26,"https://www.amazon.co.uk/dp/0594287995/","BJHUK1418D"
"A2B4F6LP0ZLI8E","0594296420",3,1,"https://www.amazon.co.uk/dp/0594296420/","INDBP1603F"
"A1RKH6803HVOQL","0594296420",5,20,"https://www.amazon.co.uk/dp/0594296420/","INDBP1603F"
"A3ZNVCQCG57AY","0594296420",5,25,"https://www.amazon.co.uk/dp/0594296420/","INDBP1603F"
"A1HM74IXWXQ5D8","0594296420",5,7,"https://www.amazon.co.uk/dp/0594296420/","INDBP1603F"
"A2DUI0YVE1DZ48","0594296420",5,7,"https://www.amazon.co.uk/dp/0594296420/","INDBP1603F"
"AH3LYMIBZ6DKF","0594296420",5,2,"https://www.amazon.co.uk/dp/0594296420/","INDBP1603F"
"AWA0CM7TY98QX","0594450209",5,1,"https://www.amazon.co.uk/dp/0594450209/","QHXVF7512R"
"A244IAP7UBVHH6","0594450209",5,3,"https://www.amazon.co.uk/dp/0594450209/","QHXVF7512R"
"A3E7PG9CHDBICA","0594450705",5,29,"https://www.amazon.co.uk/dp/0594450705/","BUPJL9474J"
"A2JXAZZI9PHK9Z","0594451647",5,6,"https://www.amazon.co.uk/dp/0594451647/","HFCUB8970G"
"A1RTWWRHVIVWQW","0594451647",5,19,"https://www.amazon.co.uk/dp/0594451647/","HFCUB8970G"
"A2P5U7BDKKT7FW","0594451647",2,11,"https://www.amazon.co.uk/dp/0594451647/","HFCUB8970G"
"A262D8GC5XRU31","0594451647",5,14,"https://www.amazon.co.uk/dp/0594451647/","HFCUB8970G"
"AAZ084UMH8VZ2","0594451647",5,5,"https://www.amazon.co.uk/dp/0594451647/","HFCUB8970G"
"A3M122DYN9L5N8","0594451647",1,12,"https://www.amazon.co.uk/dp/0594451647/","HFCUB8970G"
"A3S0RV5ZQ37538","0594451647",4,4,"https://www.amazon.co.uk/dp/0594451647/","HFCUB8970G"
"A150Y5KRN7FWJJ","0594451647",5,10,"https://www.amazon.co.uk/dp/0594451647/","HFCUB8970G"
"AEZ3CR6BKIROJ","0594451647",4,25,"https://www.amazon.co.uk/dp/0594451647/","HFCUB8970G"
"A3BY5KCNQZXV5U","0594451647",5,18,"https://www.amazon.co.uk/dp/0594451647/","HFCUB8970G"
"A1JIOBEWHVV8MC","0594451647",5,1,"https://www.amazon.co.uk/dp/0594451647/","HFCUB8970G"
"A2OJRZGW5YVGNS","0594451647",5,23,"https://www.amazon.co.uk/dp/0594451647/","HFCUB8970G"
"A14KUMEJ094IZ3","0594451647",5,13,"https://www.amazon.co.uk/dp/0594451647/","HFCUB8970G"
"A212UCG62RO8JF","0594451647",5,29,"https://www.amazon.co.uk/dp/0594451647/","HFCUB8970G"
"A18U7ZDE2VHD01","0594477670",5,10,"https://www.amazon.co.uk/dp/0594477670/","SSAVH4646U"
